date,site,id,tl_cm,sl_cm,sex
14-Nov-17,NNE,BEST.NNE3.01,34.5,26,M
14-Nov-17,NNE,BEST.NNE3.04,42,32.5,M
14-Nov-17,NNE,BEST.NNE3.06,41.5,32,M
14-Nov-17,NNE,BEST.NNE3.10,32.5,25,M
14-Nov-17,NNE,BEST.NNE3.12,36,28,M
14-Nov-17,NNE,BEST.NNE3.13,33,25,M
14-Nov-17,NNE,BEST.NNE3.14,40,31,M
14-Nov-17,NNE,BEST.NNE3.15,35.5,26.5,M
14-Nov-17,NNE,BEST.NNE3.17,37.5,29.5,M
14-Nov-17,NNE,BEST.NNE3.19,30.5,23.5,M
16-Nov-17,XL,BEST.XL5.01,31,24.5,F
16-Nov-17,XL,BEST.XL5.02,32.5,25,F
16-Nov-17,XL,BEST.XL5.05,31,24,F
16-Nov-17,XL,BEST.XL5.06,28,21,F
16-Nov-17,XL,BEST.XL5.07,33.5,26,F
16-Nov-17,XL,BEST.XL5.11,25,19.5,F
16-Nov-17,XL,BEST.XL5.12,29.5,22,F
16-Nov-17,XL,BEST.XL5.13,30,23,F
16-Nov-17,XL,BEST.XL5.15,29,22.5,F
16-Nov-17,XL,BEST.XL5.03,40,30.5,M
16-Nov-17,XL,BEST.XL5.04,36,27,M
16-Nov-17,XL,BEST.XL5.08,38,28.5,M
16-Nov-17,XL,BEST.XL5.09,37.5,29,M
16-Nov-17,XL,BEST.XL5.10,37,29,M
16-Nov-17,XL,BEST.XL5.14,34.5,26,M
16-Nov-17,XL,BEST.XL5.16,34,25.5,M
18-Dec-17,XL,BEST.XL6.04,30.5,23,F
18-Dec-17,XL,BEST.XL6.07,23,17,F
18-Dec-17,XL,BEST.XL6.01,42,31,M
18-Dec-17,XL,BEST.XL6.02,35.5,26.5,M
18-Dec-17,XL,BEST.XL6.03,31,23.5,M
18-Dec-17,XL,BEST.XL6.05,33,25,M
18-Dec-17,XL,BEST.XL6.06,34.5,26,M
20-Dec-17,HS1,BEST.HS1.5.1,28,21,F
23-Jan-18,NNE,BEST.NNE4.03,31,24,F
23-Jan-18,NNE,BEST.NNE4.04,34.5,26.5,F
23-Jan-18,NNE,BEST.NNE4.01,14,11.5,I
23-Jan-18,NNE,BEST.NNE4.02,35.5,28,M
23-Jan-18,NNE,BEST.NNE4.05,33,26,M
22-May-18,XL,BEST2.XL1.01,26,19.5,F
22-May-18,XL,BEST2.XL1.02,31,24,F
22-May-18,XL,BEST2.XL1.04,31.5,24,F
22-May-18,XL,BEST2.XL1.03,35.5,27,M
1-Jun-18,XL,BEST2.XL2.04,32.5,24.5,F
1-Jun-18,XL,BEST2.XL2.08,29,22.5,F
1-Jun-18,XL,BEST2.XL2.11,30.5,23.5,F
1-Jun-18,XL,BEST2.XL2.12,32.5,24.5,F
1-Jun-18,XL,BEST2.XL2.13,27,20.5,F
1-Jun-18,XL,BEST2.XL2.14,30,23,F
1-Jun-18,XL,BEST2.XL2.16,35,26.5,F
1-Jun-18,XL,BEST2.XL2.20,31,24,F
1-Jun-18,XL,BEST2.XL2.22,29.5,22,F
1-Jun-18,XL,BEST2.XL2.01,36.5,28,M
1-Jun-18,XL,BEST2.XL2.02,38,28.5,M
1-Jun-18,XL,BEST2.XL2.03,40.5,31.5,M
1-Jun-18,XL,BEST2.XL2.05,32.5,24.5,M
1-Jun-18,XL,BEST2.XL2.06,37.5,29,M
1-Jun-18,XL,BEST2.XL2.07,18.5,14,M
1-Jun-18,XL,BEST2.XL2.09,41,31,M
1-Jun-18,XL,BEST2.XL2.10,32.5,24.5,M
1-Jun-18,XL,BEST2.XL2.15,37.5,28.5,M
1-Jun-18,XL,BEST2.XL2.17,38,29,M
1-Jun-18,XL,BEST2.XL2.18,27,20.5,M
1-Jun-18,XL,BEST2.XL2.19,36,27,M
1-Jun-18,XL,BEST2.XL2.21,39,29.5,M
1-Jun-18,XL,BEST2.XL2.23,39.5,30,M
5-Sep-18,XL,090518.XL.02,28.5,21.5,F
5-Sep-18,XL,090518.XL.03,23,17.5,F
5-Sep-18,XL,090518.XL.06,30,23,F
5-Sep-18,XL,090518.XL.07,28.5,21.5,F
5-Sep-18,XL,090518.XL.08,30.5,23.5,F
5-Sep-18,XL,090518.XL.10,27,21.5,F
5-Sep-18,XL,090518.XL.11,31.5,24,F
5-Sep-18,XL,090518.XL.12,25,18.5,F
5-Sep-18,XL,090518.XL.14,27.5,21,F
5-Sep-18,XL,090518.XL.18,25,19.5,F
5-Sep-18,XL,090518.XL.19,27.5,20.5,F
5-Sep-18,XL,090518.XL.22,30,22.5,F
5-Sep-18,XL,090518.XL.24,31,23.5,F
5-Sep-18,XL,090518.XL.25,31.5,24,F
5-Sep-18,XL,090518.XL.32,30,23,F
5-Sep-18,XL,090518.XL.33,30.5,23.5,F
5-Sep-18,XL,090518.XL.36,31.5,23.75,F
5-Sep-18,XL,090518.XL.38,30,22.5,F
5-Sep-18,XL,090518.XL.39,29,22,F
5-Sep-18,XL,090518.XL.40,24,18,F
5-Sep-18,XL,090518.XL.41,28,21,F
5-Sep-18,XL,090518.XL.42,32,24.75,F
5-Sep-18,XL,090518.XL.45,28,21,F
5-Sep-18,XL,090518.XL.46,34.5,26.5,F
5-Sep-18,XL,090518.XL.47,32,24,F
5-Sep-18,XL,090518.XL.49,29,23,F
5-Sep-18,XL,090518.XL.51,27,21,F
5-Sep-18,XL,090518.XL.52,33,24.5,F
5-Sep-18,XL,090518.XL.53,30.5,23,F
5-Sep-18,XL,090518.XL.55,32,24.5,F
5-Sep-18,XL,090518.XL.56,35,27,F
5-Sep-18,XL,090518.XL.57,29,22,F
5-Sep-18,XL,090518.XL.58,27,20,F
5-Sep-18,XL,090518.XL.60,30.5,23.5,F
5-Sep-18,XL,090518.XL.01,36,37.5,M
5-Sep-18,XL,090518.XL.04,37,38.5,M
5-Sep-18,XL,090518.XL.05,35.5,27,M
5-Sep-18,XL,090518.XL.09,37,28,M
5-Sep-18,XL,090518.XL.13,37.5,28.5,M
5-Sep-18,XL,090518.XL.15,30,22.5,M
5-Sep-18,XL,090518.XL.16,39,29.75,M
5-Sep-18,XL,090518.XL.17,35,26,M
5-Sep-18,XL,090518.XL.20,38.5,28.5,M
5-Sep-18,XL,090518.XL.21,33.5,25,M
5-Sep-18,XL,090518.XL.23,23.5,17.5,M
5-Sep-18,XL,090518.XL.26,28,21,M
5-Sep-18,XL,090518.XL.27,40.5,31.5,M
5-Sep-18,XL,090518.XL.28,34,26,M
5-Sep-18,XL,090518.XL.29,23,17.5,M
5-Sep-18,XL,090518.XL.30,34,26.5,M
5-Sep-18,XL,090518.XL.31,19.5,14.5,M
5-Sep-18,XL,090518.XL.34,40,30,M
5-Sep-18,XL,090518.XL.35,37,28.5,M
5-Sep-18,XL,090518.XL.37,38,28.5,M
5-Sep-18,XL,090518.XL.43,34.5,25.5,M
5-Sep-18,XL,090518.XL.44,37.75,29.5,M
5-Sep-18,XL,090518.XL.48,39,29.5,M
5-Sep-18,XL,090518.XL.50,34.5,26.5,M
5-Sep-18,XL,090518.XL.54,39,30,M
5-Sep-18,XL,090518.XL.59,39.75,31.75,M
5-Sep-18,XL,090518.XL.61,33,25,M
5-Sep-18,XL,090518.XL.62,36,27.5,M
17-Jan-19,XL,BEST2.011719.XL.4,33,25.5,F
17-Jan-19,XL,BEST2.011719.XL.1,34.5,25.5,M
17-Jan-19,XL,BEST2.011719.XL.2,32.5,4,M
17-Jan-19,XL,BEST2.011719.XL.3,31,23.5,M
19-Jan-19,NNE,BEST2.011919.NNE.11,32,24.5,F
19-Jan-19,NNE,BEST2.011919.NNE.2,30,22,F
19-Jan-19,NNE,BEST2.011919.NNE.3,25,19.5,F
19-Jan-19,NNE,BEST2.011919.NNE.5,31,23.5,F
19-Jan-19,NNE,BEST2.011919.NNE.7,32.5,25,F
19-Jan-19,NNE,BEST2.011919.NNE.8,33,25,F
19-Jan-19,NNE,BEST2.011919.NNE.9,26,20,F
19-Jan-19,NNE,BEST2.011919.NNE.1,37.5,28,M
19-Jan-19,NNE,BEST2.011919.NNE.10,36,28,M
19-Jan-19,NNE,BEST2.011919.NNE.12,31,24,M
19-Jan-19,NNE,BEST2.011919.NNE.4,34,25.5,M
19-Jan-19,NNE,BEST2.011919.NNE.6,37.5,29.5,M
