date,site,id,tl_cm,sl_cm,sex,stage,g_mass_1,g_mass_2
7-Aug-17,XL,BEST.XL.40,31,23.5,F,0,1.225,1.527
7-Aug-17,XL,BEST.XL.41,29.5,21.5,F,5,5.472,4.999
7-Aug-17,XL,BEST.XL.42,28,21,F,5,10.035,9.088
7-Aug-17,XL,BEST.XL.44,28,21.5,F,3,5.284,4.909
1-Sep-17,XL,BEST.XL2.03,31.5,24,F,3,6.097,3.613
1-Sep-17,XL,BEST.XL2.04,25,19,F,2,1.318,1.097
1-Sep-17,XL,BEST.XL2.06,30.5,23,F,4,5.641,8.606
1-Sep-17,XL,BEST.XL2.07,32,24.5,F,3,6.002,8.86
1-Sep-17,XL,BEST.XL2.11,28.5,22,F,5,12.533,12.667
1-Sep-17,XL,BEST.XL2.12,35,27,F,5,12.27,11.451
1-Sep-17,XL,BEST.XL2.15,28,21.5,F,5,13.876,9.799
1-Sep-17,XL,BEST.XL2.16,32,25.5,F,5,14.673,11.115
1-Sep-17,XL,BEST.XL2.17,30,22.5,F,2,2.719,2.886
1-Sep-17,XL,BEST.XL2.21,32,25,F,3,7.288,7.022
1-Sep-17,XL,BEST.XL2.23,27.5,21,F,2,3.639,5.606
1-Sep-17,XL,BEST.XL2.25,27,20.5,F,2,5.786,5.215
1-Sep-17,XL,BEST.XL2.26,32,24,F,3,6.114,6.764
1-Sep-17,XL,BEST.XL2.28,28,21.5,F,3,3.857,3.172
1-Sep-17,XL,BEST.XL2.29,31,23.5,F,5,14.301,12.473
1-Sep-17,XL,BEST.XL2.30,30.5,23.5,F,3,4.294,3.691
1-Sep-17,XL,BEST.XL2.31,31,23,F,3,6.234,5.557
1-Sep-17,XL,BEST.XL2.32,29,22,F,5,8.48,8.154
1-Sep-17,XL,BEST.XL2.33,27.5,20.5,F,5,9.679,8.237
1-Sep-17,XL,BEST.XL2.34,29.5,23,F,4,10.457,8.752
1-Sep-17,XL,BEST.XL2.35,30.5,23.5,F,5,7.624,8.287
1-Sep-17,XL,BEST.XL2.36,29,22.5,F,3,3.912,5.029
1-Sep-17,XL,BEST.XL2.37,28.5,21.5,F,3,5.31,4.796
1-Sep-17,XL,BEST.XL2.38,30,23.5,F,3,9.242,8.082
1-Sep-17,XL,BEST.XL2.39,26.5,20.5,F,1,2.073,1.665
1-Sep-17,XL,BEST.XL2.40,27,21,F,3,8.931,8.285
1-Sep-17,XL,BEST.XL2.41,27.5,21,F,2,2.937,2.876
1-Sep-17,XL,BEST.XL2.42,32.5,25.5,F,3,7.375,6.45
1-Sep-17,XL,BEST.XL2.43,26,20,F,4,4.623,5.83
1-Sep-17,XL,BEST.XL2.44,26,20.5,F,2,2.942,3.972
22-Sep-17,XL,BEST.XL3.04,28,22,F,4,11.886,8.008
22-Sep-17,XL,BEST.XL3.07,29.5,22,F,2,4.819,4.174
22-Sep-17,XL,BEST.XL3.09,36.6,27.5,F,3,4.605,2.537
22-Sep-17,XL,BEST.XL3.10,30.5,22.5,F,3,3.329,3.445
22-Sep-17,XL,BEST.XL3.12,28,21,F,2,2.03,1.667
22-Sep-17,XL,BEST.XL3.13,30,23,F,5,11.321,10.043
22-Sep-17,XL,BEST.XL3.14,28.5,21.5,F,5,8.309,9.092
22-Sep-17,XL,BEST.XL3.15,31.5,24,F,2,5.31,5.224
22-Sep-17,XL,BEST.XL3.16,26.5,20,F,2,2.401,2.45
22-Sep-17,XL,BEST.XL3.17,30,23,F,2,2.138,3.26
